NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
200,Annamalai University3.,3.1,3.7,4.0,3.9,3.9,5.0,152.0,₹ 2.00 LakhSalary ,₹ 3.83 Lakh Not RankedIndia Today ,B.Tech
200,Crescent School of Life Sciences (B.S.Abdur Rahman University)4.,4.1,4.5,4.7,4.6,4.5,0.0,32.0,₹ 1.50 LakhSalary ,₹ 4.25 Lakh Not RankedIndia Today ,B.Tech
200,Anurag University4.,4.1,4.4,4.2,4.2,4.0,0.0,564.0,₹ 11.40 Lakh167India Today ,,B.Tech
200,BMS College of Engineering4.,4.2,4.1,4.2,4.4,4.3,0.0,401.0,₹ 10.46 LakhSalary ,₹ 9.00 Lakh 24India Today ,B.Tech
200,Vishwakarma Institute of Information Technology3.,4.0,3.7,4.2,3.9,3.8,0.0,412.0,₹ 6.19 LakhSalary ,₹ 6.40 Lakh Not RankedIndia Today ,B.Tech
200,Bharati Vidyapeeths College of Engineering4.,4.3,4.3,5.0,4.7,4.0,0.0,3.0,₹ 3.48 LakhSalary ,₹ 5.38 Lakh Not RankedIndia Today ,B.Tech
200,"CMR Institute of Technology, Bangalore4.",4.1,4.1,4.2,4.1,4.0,0.0,466.0,₹ 3.86 Lakh116India Today ,,B.Tech
200,"Chaitanya Bharathi Institute of Technology, Hyderabad4.",4.2,3.9,4.1,4.4,4.0,0.0,620.0,₹ 5.60 LakhSalary ,₹ 6.30 Lakh 62India Today ,B.Tech
200,CVR College of Engineering4.,4.4,4.2,4.3,4.2,4.2,0.0,566.0,₹ 6.00 LakhSalary ,₹ 4.50 Lakh 91India Today ,B.Tech
200,Dayalbagh Educational Institute [DEI]4.,3.6,3.7,4.2,3.9,4.7,5.0,436.0,"₹ 27,840Salary ",₹ 5.20 Lakh Not RankedIndia Today ,B.Tech
200,Dr. D. Y. Patil Institute Of Technology4.,4.3,4.3,4.3,4.1,4.3,0.0,265.0,₹ 3.60 LakhNot RankedIndia Today ,,B.Tech
200,SRM Easwari Engineering College4.,4.3,4.2,4.4,4.5,4.1,0.0,223.0,₹ 2.00 LakhSalary ,₹ 5.28 Lakh 125India Today ,B.Tech
200,"G.H. Raisoni College of Engineering, Nagpur3.",3.8,4.0,4.1,4.0,3.9,0.0,468.0,₹ 6.81 Lakh120India Today ,,B.Tech
200,GLA University4.,4.1,4.2,4.2,4.1,4.0,0.0,1412.0,₹ 8.48 LakhNot RankedIndia Today ,,B.Tech
200,G.L. Bajaj Institute of Technology and Management4.,4.2,4.0,4.1,3.9,4.1,0.0,1202.0,₹ 2.45 LakhSalary ,₹ 4.50 Lakh Not RankedIndia Today ,B.Tech
200,"IIIT Guwahati - Indian Institute of Information Technology, Assam4.",4.3,3.8,4.3,3.6,3.8,0.0,107.0,₹ 11.00 LakhSalary ,₹ 12.00 Lakh Not RankedIndia Today ,B.Tech
200,Indira Gandhi Delhi Technical University for Women (IGDTUW)4.,4.4,3.4,4.0,3.9,4.3,0.0,257.0,₹ 5.24 Lakh21India Today ,,B.Tech
200,Institute of Aeronautical Engineering4.,4.0,4.0,4.0,4.1,4.0,0.0,564.0,₹ 3.60 LakhSalary ,₹ 4.50 Lakh 86India Today ,B.Tech
200,Institute of Engineering and Management3.,4.2,3.4,4.2,3.5,4.1,0.0,638.0,₹ 4.17 LakhSalary ,₹ 6.00 Lakh Not RankedIndia Today ,B.Tech
200,"J. C. Bose University of Science and Technology, YMCA3.",3.6,3.2,3.7,3.5,4.0,0.0,768.0,₹ 2.97 LakhSalary ,₹ 6.00 Lakh Not RankedIndia Today ,B.Tech
200,"Rajarshi Shahu College of Engineering, Pune4.",4.1,4.0,4.4,4.0,4.0,0.0,387.0,₹ 6.20 LakhNot RankedIndia Today ,,B.Tech
200,KIET Group of Institutions4.,4.1,4.2,4.2,4.1,4.1,0.0,1459.0,₹ 4.48 LakhNot RankedIndia Today ,,B.Tech
200,KLE Technological University4.,4.2,4.4,4.2,4.5,4.2,0.0,225.0,₹ 8.20 LakhNot RankedIndia Today ,,B.Tech
200,Kumaraguru College of Technology4.,4.0,4.5,4.0,4.6,4.2,0.0,141.0,,,B.Tech
200,"Maharishi Markandeshwar University, Mullana4.",3.9,4.3,4.3,4.3,4.1,0.0,579.0,₹ 5.14 Lakh166India Today ,,B.Tech
200,Maulana Azad National Urdu University4.,3.5,4.6,4.4,4.5,4.6,0.0,42.0,"₹ 32,400Salary ",₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
200,National Engineering College4.,4.3,4.3,4.2,4.3,4.4,0.0,40.0,₹ 2.00 LakhSalary ,₹ 4.02 Lakh Not RankedIndia Today ,B.Tech
200,National Institute of Advanced Manufacturing Technology4.,4.3,4.2,4.0,3.8,4.6,0.0,116.0,₹ 1.42 LakhSalary ,₹ 6.70 Lakh Not RankedIndia Today ,B.Tech
200,NIFTEM - National Institute of Food Technology Entrepreneurship and Management4.,3.8,4.6,3.9,4.0,3.8,0.0,69.0,₹ 6.06 LakhSalary ,₹ 7.00 Lakh Not RankedIndia Today ,B.Tech
200,"National Institute of Technology , Nagaland3.",3.7,3.9,3.9,4.0,4.0,0.0,38.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
200,"National Institute of Technology , Sikkim3.",3.9,3.6,4.0,3.9,4.0,0.0,47.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
200,NHCE Bangalore - New Horizon College of Engineering4.,4.1,4.3,4.1,4.3,3.9,0.0,209.0,₹ 15.00 LakhNot RankedIndia Today ,,B.Tech
200,NMAM Institute of Technology4.,3.9,4.0,4.2,4.1,3.9,0.0,52.0,₹ 3.34 LakhSalary ,₹ 4.50 Lakh Not RankedIndia Today ,B.Tech
200,North Eastern Regional Institute of Science and Technology3.,2.9,3.3,3.6,3.9,4.4,0.0,44.0,"₹ 46,930Salary ",₹ 4.50 Lakh Not RankedIndia Today ,B.Tech
200,R.M.K. Engineering College4.,4.1,4.3,4.1,3.9,4.1,0.0,220.0,₹ 2.00 LakhSalary ,₹ 5.00 Lakh 72India Today ,B.Tech
200,Rajalakshmi Institute of Technology4.,4.6,4.3,4.5,4.4,4.4,0.0,269.0,,₹ 5.16 Lakh Not RankedIndia Today ,B.Tech
200,Shri Mata Vaishno Devi University3.,3.3,4.2,3.7,4.0,3.7,0.0,113.0,,₹ 5.50 Lakh Not RankedIndia Today ,B.Tech
200,Sona College of Technology4.,3.8,4.3,4.2,4.4,3.9,0.0,101.0,,,B.Tech
200,Sri Krishna College of Technology [SKCT]4.,4.2,4.5,4.2,4.4,4.1,0.0,152.0,₹ 2.00 LakhSalary ,₹ 4.50 Lakh 210India Today ,B.Tech
200,Sri Ramakrishna Engineering College4.,4.0,3.6,4.0,4.1,4.1,0.0,140.0,₹ 3.00 LakhNot RankedIndia Today ,,B.Tech
200,Sri Venkateswara College of Engineering3.,3.5,3.3,3.4,3.7,3.6,0.0,10.0,₹ 1.88 LakhSalary ,₹ 3.50 Lakh Not RankedIndia Today ,B.Tech
200,Tezpur University4.,3.1,4.4,4.0,4.4,4.2,0.0,163.0,₹ 1.20 LakhSalary ,₹ 5.50 Lakh Not RankedIndia Today ,B.Tech
200,The National Institute of Engineering4.,4.1,4.0,4.3,4.1,4.3,0.0,122.0,₹ 2.83 LakhSalary ,₹ 7.50 Lakh Not RankedIndia Today ,B.Tech
200,VNR Vignana Jyothi Institute of Engineering and Technology4.,4.4,4.4,4.3,4.4,4.3,0.0,799.0,₹ 5.40 LakhSalary ,₹ 5.50 Lakh 153India Today ,B.Tech
200,Vardhaman College of Engineering4.,4.0,4.4,4.0,4.1,4.0,0.0,405.0,₹ 5.60 LakhSalary ,₹ 6.25 Lakh Not RankedIndia Today ,B.Tech
200,Veer Surendra Sai University of Technology4.,3.8,3.7,3.9,4.2,4.3,0.0,375.0,₹ 1.52 LakhNot RankedIndia Today ,,B.Tech
200,Velagapudi Ramakrishna Siddhartha Engineering College4.,4.3,4.2,4.3,4.4,4.3,0.0,641.0,₹ 2.91 LakhSalary ,₹ 4.00 Lakh 143India Today ,B.Tech
200,"Vignan’s Foundation for Science, Technology and Research, Hyderabad4.",3.9,4.1,3.9,4.2,3.9,0.0,180.0,₹ 14.40 Lakh110India Today ,,B.Tech
200,"Yeshwantrao Chavan College of Engineering, Nagar Yuwak Shikshan Sanstha3.",3.7,4.0,3.9,4.1,3.7,0.0,409.0,₹ 5.57 LakhSalary ,₹ 5.00 Lakh 141India Today ,B.Tech
200,ABES Engineering College4.,4.0,4.2,4.1,4.0,4.0,0.0,1218.0,₹ 2.45 LakhNot RankedIndia Today ,,B.Tech
250,Aditya University4.,3.9,4.3,4.1,4.4,4.1,0.0,538.0,₹ 2.40 LakhSalary ,₹ 4.50 Lakh 257India Today ,B.Tech
250,Aditya Institute of Technology and Management4.,3.8,4.1,4.1,4.2,3.9,0.0,277.0,₹ 3.18 Lakh275India Today ,,B.Tech
250,"Amity University, Gwalior4.",4.0,4.6,4.3,4.4,4.1,5.0,318.0,₹ 11.04 LakhSalary ,₹ 5.91 Lakh 130India Today ,B.Tech
250,Army Institute of Technology4.,4.4,3.9,3.9,4.3,4.0,0.0,302.0,₹ 6.76 LakhSalary ,₹ 12.00 Lakh 55India Today ,B.Tech
250,"Bharati Vidyapeeth College of Engineering, Delhi3.",3.5,3.9,3.7,3.9,3.8,0.0,289.0,₹ 4.69 LakhSalary ,₹ 6.00 Lakh Not RankedIndia Today ,B.Tech
250,Sardar Patel Institute of Technology4.,4.5,3.8,3.9,4.3,4.1,0.0,116.0,₹ 6.09 LakhSalary ,₹ 11.92 Lakh Not RankedIndia Today ,B.Tech
250,"Birsa Institute of Technology, Sindri4.",3.8,3.7,3.9,4.1,4.7,0.0,568.0,"₹ 16,900Not RankedIndia Today ",,B.Tech
250,BMS Institute of Technology and Management4.,4.0,4.1,4.0,4.1,4.1,0.0,242.0,₹ 6.00 LakhNot RankedIndia Today ,,B.Tech
250,"Centurion University of Technology and Management, Paralakhemundi3.",3.7,3.9,4.0,4.0,3.8,0.0,836.0,₹ 6.00 LakhSalary ,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
250,"Chandigarh Group of Colleges, Jhanjeri4.",4.3,4.3,4.4,4.4,4.3,0.0,1093.0,₹ 6.58 Lakh191India Today ,,B.Tech
250,CMR College of  Engineering and Technology4.,4.1,4.2,4.1,4.3,4.0,0.0,611.0,₹ 4.60 Lakh126India Today ,,B.Tech
250,CMR Engineering College4.,4.3,4.4,4.3,4.4,4.3,0.0,373.0,₹ 3.00 LakhSalary ,₹ 4.53 Lakh Not RankedIndia Today ,B.Tech
250,CMR Institute of Technology4.,4.2,4.1,4.2,4.3,4.1,0.0,407.0,₹ 4.40 Lakh175India Today ,,B.Tech
250,College of Engineering Bhubaneswar3.,2.8,3.2,3.4,3.2,3.1,0.0,91.0,,,B.Tech
250,Dayananda Sagar College Of Engineering4.,3.9,4.3,3.9,4.5,3.7,0.0,599.0,₹ 10.46 LakhSalary ,₹ 4.50 Lakh 114India Today ,B.Tech
250,Dhirubhai Ambani Institute of Information and Communication Technology4.,4.6,4.3,4.3,4.6,4.4,0.0,140.0,₹ 6.00 LakhSalary ,₹ 8.80 Lakh Not RankedIndia Today ,B.Tech
250,DIT University3.,3.6,4.1,3.8,4.1,3.6,0.0,542.0,₹ 8.99 LakhSalary ,₹ 6.00 Lakh Not RankedIndia Today ,B.Tech
250,Dr. M.G.R. Educational and Research Institute3.,3.4,4.0,3.9,4.0,3.7,5.0,253.0,₹ 2.80 LakhSalary ,₹ 6.90 Lakh Not RankedIndia Today ,B.Tech
250,E.G.S. Pillay Engineering College3.,3.4,3.6,3.8,4.0,3.7,0.0,44.0,₹ 2.00 LakhSalary ,₹ 3.45 Lakh Not RankedIndia Today ,B.Tech
250,Galgotias College of Engineering and Technology4.,4.0,4.0,4.1,4.2,4.1,0.0,646.0,₹ 2.45 LakhSalary ,₹ 4.25 Lakh 60India Today ,B.Tech
250,Gandhi Engineering College3.,3.2,3.8,3.8,3.6,3.5,0.0,122.0,₹ 4.00 LakhNot RankedIndia Today ,,B.Tech
250,GITA - Gandhi Institute for Technological Advancement4.,3.8,4.0,4.2,4.1,4.1,0.0,299.0,,₹ 5.75 Lakh Not RankedIndia Today ,B.Tech
250,GIET University4.,3.9,4.2,4.2,4.2,3.9,0.0,504.0,₹ 7.92 LakhSalary ,₹ 4.80 Lakh Not RankedIndia Today ,B.Tech
250,GMR Institute of Technology - GMRIT4.,3.8,4.3,4.0,4.3,3.9,0.0,613.0,₹ 3.11 Lakh107India Today ,,B.Tech
250,Godavari Institute of Engineering and Technology4.,3.9,4.0,4.0,4.2,3.9,0.0,509.0,₹ 8.80 LakhNot RankedIndia Today ,,B.Tech
250,Government College of Technology (GCT)4.,4.0,3.6,4.2,4.3,4.7,0.0,126.0,₹ 2.00 LakhSalary ,₹ 6.00 Lakh Not RankedIndia Today ,B.Tech
250,"Government Engineering College, Thrissur4.",4.2,4.3,4.2,4.7,4.7,0.0,129.0,"₹ 34,600Salary ",₹ 6.50 Lakh Not RankedIndia Today ,B.Tech
250,Haldia Institute of Technology4.,3.8,4.2,4.0,4.4,4.2,0.0,781.0,₹ 4.84 LakhNot RankedIndia Today ,,B.Tech
250,Hindusthan College of Engineering and Technology4.,3.8,4.0,4.1,4.4,4.0,0.0,154.0,₹ 4.00 Lakh200India Today ,,B.Tech
250,IES College of Technology4.,3.9,4.1,4.0,3.8,4.1,0.0,126.0,₹ 1.20 Lakh128India Today ,,B.Tech
250,Indian Institute of Petroleum and Energy4.,4.3,4.0,4.4,3.4,4.5,0.0,29.0,₹ 6.00 LakhNot RankedIndia Today ,,B.Tech
250,Institute of Infrastructure Technology Research and Management3.,3.6,3.9,4.1,3.3,3.9,0.0,58.0,₹ 5.88 LakhSalary ,₹ 4.12 Lakh Not RankedIndia Today ,B.Tech
250,Integral University - IUL4.,3.5,4.3,4.1,4.2,3.9,0.0,363.0,₹ 6.00 LakhSalary ,₹ 3.50 Lakh 203India Today ,B.Tech
250,"International Institute of Information Technology, Bhubaneswar3.",3.9,3.9,3.8,4.0,3.7,0.0,178.0,₹ 7.74 LakhNot RankedIndia Today ,,B.Tech
250,Jamia Hamdard3.,3.3,3.9,4.0,4.0,3.6,0.0,279.0,₹ 8.00 LakhSalary ,₹ 4.87 Lakh Not RankedIndia Today ,B.Tech
250,Jaypee University of Information Technology3.,3.4,4.3,3.7,3.9,3.5,0.0,208.0,₹ 12.86 LakhSalary ,₹ 5.00 Lakh Not RankedIndia Today ,B.Tech
250,JIS College of Engineering4.,3.8,4.2,4.3,4.3,4.0,0.0,617.0,₹ 5.50 LakhSalary ,₹ 5.10 Lakh 139India Today ,B.Tech
250,"JSS Academy of Technical Education, JSS Mahavidyapeetha, Noida3.",3.3,3.8,3.7,3.9,3.7,0.0,601.0,₹ 2.45 LakhSalary ,₹ 4.50 Lakh Not RankedIndia Today ,B.Tech
250,JSS Science and Technology University4.,4.1,4.1,4.0,4.5,4.3,0.0,191.0,₹ 3.86 LakhSalary ,₹ 7.20 Lakh 57India Today ,B.Tech
250,K J Somaiya School of Engineering4.,4.1,4.3,3.8,4.4,3.9,0.0,210.0,₹ 21.98 Lakh50India Today ,,B.Tech
250,KRCE - K Ramakrishnan College of Engineering3.,3.7,3.7,3.9,4.0,3.7,0.0,82.0,₹ 2.00 LakhSalary ,₹ 4.50 Lakh 188India Today ,B.Tech
250,K. Ramakrishnan College of Technology4.,4.0,4.2,4.2,4.3,4.1,0.0,25.0,₹ 2.00 LakhSalary ,₹ 5.12 Lakh 247India Today ,B.Tech
250,KSR Educational Institutions3.,3.5,4.1,3.8,4.1,3.8,0.0,149.0,₹ 2.00 LakhSalary ,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
250,Kakatiya Institute of Technology and Science4.,4.0,4.3,4.1,4.3,4.1,0.0,478.0,₹ 5.00 LakhSalary ,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
250,KalaignarKarunanidhi Institute of Technology - KIT4.,4.5,4.5,4.5,4.3,4.4,0.0,116.0,₹ 2.00 Lakh187India Today ,,B.Tech
250,Karpagam College of Engineering3.,4.1,3.8,3.9,4.0,3.9,0.0,131.0,₹ 2.00 LakhSalary ,₹ 3.15 Lakh Not RankedIndia Today ,B.Tech
250,KCG College of Technology4.,3.9,4.1,4.2,4.2,4.1,0.0,168.0,₹ 2.20 LakhSalary ,₹ 4.30 Lakh 156India Today ,B.Tech
250,Lakireddy Bali Reddy College of Engineering4.,3.8,4.3,4.1,4.3,4.1,0.0,295.0,₹ 3.14 LakhSalary ,₹ 4.00 Lakh 258India Today ,B.Tech
250,"Lakshmi Narain College of Technology, Bhopal4.",4.2,4.0,3.9,4.0,4.0,0.0,876.0,₹ 2.65 LakhSalary ,₹ 5.61 Lakh 77India Today ,B.Tech
300,M.Kumarasamy College of Engineering4.,4.2,3.8,4.2,4.1,4.1,0.0,51.0,₹ 2.00 LakhSalary ,₹ 3.77 Lakh 190India Today ,B.Tech
300,Madanapalle Institute of Technology and Science4.,4.3,4.3,4.4,4.4,4.2,0.0,554.0,₹ 2.71 LakhSalary ,₹ 5.10 Lakh 205India Today ,B.Tech
300,Maharaja Agrasen Institute of Technology3.,3.6,3.7,3.8,3.7,3.8,0.0,908.0,₹ 5.53 LakhSalary ,₹ 8.25 Lakh 43India Today ,B.Tech
300,MSU - The Maharaja Sayajirao University of Baroda4.,3.8,4.0,4.2,4.3,4.4,5.0,677.0,"₹ 37,760Salary ",₹ 3.73 Lakh Not RankedIndia Today ,B.Tech
300,Maharaja Surajmal Institute of Technology3.,4.0,3.5,4.0,3.8,4.0,0.0,680.0,₹ 4.69 Lakh38India Today ,,B.Tech
300,"Cummins College of Engineering for Women, Pune4.",4.5,3.9,4.1,4.2,4.1,0.0,94.0,₹ 5.77 LakhSalary ,₹ 8.00 Lakh 69India Today ,B.Tech
300,Malla Reddy Engineering College4.,4.0,4.2,4.1,4.3,4.0,0.0,488.0,₹ 4.60 LakhSalary ,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
300,Manav Rachna University [MRU]3.,3.7,4.3,4.0,4.1,3.7,0.0,260.0,₹ 7.28 LakhSalary ,₹ 4.25 Lakh Not RankedIndia Today ,B.Tech
300,MLR Institute of Technology4.,4.3,4.5,4.3,4.5,4.2,0.0,523.0,₹ 4.40 Lakh181India Today ,,B.Tech
300,Narasaraopeta Engineering College (Autonomous)3.,3.7,4.1,4.0,4.1,3.8,0.0,242.0,₹ 2.95 Lakh216India Today ,,B.Tech
300,NIT - Narula Institute of Technology4.,4.1,4.1,4.3,4.3,4.1,0.0,667.0,₹ 7.00 LakhSalary ,₹ 5.00 Lakh 241India Today ,B.Tech
300,PES College of Engineering3.,3.6,4.0,3.9,4.1,3.9,0.0,171.0,₹ 7.44 LakhSalary ,₹ 4.50 Lakh 117India Today ,B.Tech
300,"DY Patil University, Navi Mumbai4.",4.1,4.5,4.0,4.5,4.1,3.4,293.0,₹ 9.20 LakhSalary ,₹ 6.40 Lakh Not RankedIndia Today ,B.Tech
300,Panimalar Engineering College3.,3.6,4.3,3.8,3.2,3.8,0.0,409.0,₹ 2.00 LakhSalary ,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
300,Pondicherry Engineering College - PEC4.,3.9,3.8,4.1,4.1,4.0,0.0,144.0,₹ 1.28 LakhSalary ,₹ 5.00 Lakh Not RankedIndia Today ,B.Tech
300,Prasad V Potluri Siddhartha Institute of Technology4.,4.0,3.9,4.2,4.1,4.0,0.0,187.0,₹ 4.20 LakhSalary ,₹ 4.00 Lakh 172India Today ,B.Tech
300,Prince Shri Venkateshwara Padmavathy Engineering College3.,3.4,3.4,4.1,3.3,3.8,0.0,18.0,₹ 2.00 LakhSalary ,₹ 4.00 Lakh Not RankedIndia Today ,B.Tech
300,PSNA College of Engineering and Technology4.,4.0,4.2,4.1,4.2,4.0,0.0,131.0,₹ 2.00 LakhNot RankedIndia Today ,,B.Tech
300,QIS College of Engineering & Technology3.,3.5,3.7,3.9,4.1,3.7,0.0,174.0,₹ 3.50 LakhSalary ,₹ 5.50 Lakh Not RankedIndia Today ,B.Tech
300,R.M.K. College of Engineering and Technology3.,3.7,3.9,3.9,3.4,3.8,0.0,30.0,₹ 2.00 LakhSalary ,₹ 4.75 Lakh Not RankedIndia Today ,B.Tech
300,R.M.D. Engineering College4.,4.2,4.1,4.1,3.8,4.1,0.0,49.0,₹ 2.00 LakhSalary ,₹ 4.80 Lakh 123India Today ,B.Tech
300,RVR and JC College of Engineering4.,4.1,4.3,4.3,4.4,4.3,0.0,594.0,₹ 4.20 LakhSalary ,₹ 4.00 Lakh 161India Today ,B.Tech
300,Rabindranath Tagore University3.,3.5,4.0,4.1,3.8,3.7,0.0,40.0,₹ 1.80 LakhSalary ,₹ 5.85 Lakh Not RankedIndia Today ,B.Tech
300,Rajeev Gandhi Memorial College of Engineering and Technology3.,3.3,3.9,3.8,4.0,3.6,0.0,275.0,₹ 2.38 LakhSalary ,₹ 4.25 Lakh 195India Today ,B.Tech
300,Rathinam Technical Campus4.,4.3,4.2,4.3,4.3,4.2,0.0,32.0,,,B.Tech
300,REVA University4.,3.8,4.6,4.1,4.4,4.0,0.0,688.0,,,B.Tech
300,"Saveetha Engineering College, Chennai4.",4.1,4.3,4.1,4.3,3.9,0.0,372.0,,,B.Tech
300,Shri G. S. Institute of Technology and Science3.,3.8,3.5,3.9,3.9,4.1,0.0,436.0,₹ 2.68 LakhSalary ,₹ 7.00 Lakh Not RankedIndia Today ,B.Tech
300,Ramdeobaba University4.,4.1,3.9,4.1,4.2,4.0,0.0,433.0,₹ 6.96 Lakh48India Today ,,B.Tech
300,Dwarkadas J. Sanghvi College of Engineering4.,4.0,4.2,4.0,4.3,3.9,0.0,202.0,₹ 7.65 LakhSalary ,₹ 8.10 Lakh 28India Today ,B.Tech
300,"SMIT - Sikkim Manipal Institute of Technology, Sikkim Manipal University4.",3.9,4.4,4.1,4.2,3.9,0.0,258.0,₹ 14.42 Lakh45India Today ,,B.Tech
300,"Silicon Institute of Technology, Bhubaneswar4.",4.0,3.9,4.3,4.0,4.1,0.0,218.0,₹ 4.23 LakhNot RankedIndia Today ,,B.Tech
300,"SNS College of Technology, SNS Group of Institutions4.",4.0,4.1,4.3,4.3,4.1,0.0,204.0,₹ 2.00 Lakh183India Today ,,B.Tech
300,SNIST - Sreenidhi Institute of Science and Technology4.,3.9,4.0,4.0,4.2,3.7,0.0,973.0,₹ 5.20 LakhSalary ,₹ 4.43 Lakh 104India Today ,B.Tech
300,SECE - Sri Eshwar College of Engineering4.,4.5,4.1,4.2,4.0,4.1,0.0,61.0,₹ 2.00 LakhSalary ,₹ 3.50 Lakh Not RankedIndia Today ,B.Tech
300,Sri Manakula Vinayagar Engineering College - SMVEC3.,4.1,3.8,4.1,3.9,3.8,0.0,132.0,₹ 1.70 LakhSalary ,₹ 5.05 Lakh 213India Today ,B.Tech
300,"Sri Venkateswara College of Engineering and Technology, Chittoor3.",3.4,3.8,3.8,4.1,3.7,0.0,223.0,₹ 1.92 LakhSalary ,₹ 4.97 Lakh Not RankedIndia Today ,B.Tech
300,"Sri Venkateswara College of Engineering, Tirupati4.",4.1,4.4,4.2,4.4,4.2,0.0,404.0,₹ 2.98 LakhSalary ,₹ 4.92 Lakh 88India Today ,B.Tech
300,St. Joseph's College of Engineering3.,3.8,3.9,3.8,3.7,3.7,0.0,151.0,₹ 2.00 LakhNot RankedIndia Today ,,B.Tech
300,The LNM Institute of Information Technology4.,4.2,4.2,3.8,4.4,4.0,0.0,654.0,₹ 16.90 LakhSalary ,₹ 9.75 Lakh 51India Today ,B.Tech
300,North Maharashtra University3.,3.0,3.7,3.8,3.6,3.8,0.0,66.0,,₹ 3.69 Lakh Not RankedIndia Today ,B.Tech
300,Vasavi College of Engineering - VCE4.,4.6,4.3,4.5,4.4,4.4,0.0,699.0,₹  5.60 LakhSalary ,₹ 7.60 Lakh Not RankedIndia Today ,B.Tech
300,Vidya Jyothi Institute of Technology4.,3.9,4.1,4.1,4.2,4.0,0.0,323.0,₹  4.60 LakhSalary ,₹ 4.11 Lakh 159India Today ,B.Tech
300,Vignan's Institute of Information Technology4.,4.1,4.2,4.1,4.3,4.1,0.0,881.0,₹  2.75 LakhSalary ,₹ 4.25 Lakh Not RankedIndia Today ,B.Tech
1,"All India Institute of Medical Sciences, Delhi4.",4.5,4.4,4.6,4.7,4.7,0.0,68.0,"₹ 6,0751India Today ",,Medical
